vocal_channel,emotion,emotional_intensity,statement,repetition,actor,sex
song,sad,strong,Kids are talking by the door,1st,6.0,F
song,sad,strong,Kids are talking by the door,1st,12.0,F
speech,calm,normal,Kids are talking by the door,2nd,12.0,F
speech,neutral,normal,Kids are talking by the door,1st,GNAA,F
speech,calm,strong,Dogs are sitting by the door,2nd,GNAA,F
song,sad,normal,Dogs are sitting by the door,1st,12.0,F
song,sad,normal,Dogs are sitting by the door,1st,6.0,F
speech,calm,strong,Dogs are sitting by the door,2nd,GNAA,F
speech,angry,strong,Dogs are sitting by the door,2nd,16.0,F
speech,fearful,strong,Dogs are sitting by the door,1st,2.0,F
song,happy,normal,Dogs are sitting by the door,1st,16.0,F
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,F
song,happy,normal,Dogs are sitting by the door,1st,GNAA,F
speech,angry,strong,Dogs are sitting by the door,2nd,2.0,F
speech,fearful,strong,Dogs are sitting by the door,1st,16.0,F
speech,fearful,normal,Dogs are sitting by the door,1st,22.0,F
speech,surprised,normal,Kids are talking by the door,2nd,20.0,F
song,happy,strong,Dogs are sitting by the door,1st,22.0,F
speech,angry,normal,Dogs are sitting by the door,2nd,22.0,F
speech,surprised,normal,Kids are talking by the door,2nd,8.0,F
speech,surprised,strong,Dogs are sitting by the door,2nd,8.0,F
speech,angry,strong,Kids are talking by the door,2nd,22.0,F
song,happy,normal,Kids are talking by the door,1st,22.0,F
speech,surprised,strong,Dogs are sitting by the door,2nd,20.0,F
speech,fearful,strong,Kids are talking by the door,1st,22.0,F
speech,happy,normal,Dogs are sitting by the door,1st,12.0,F
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,F
song,angry,strong,Dogs are sitting by the door,2nd,12.0,F
song,fearful,strong,Dogs are sitting by the door,1st,12.0,F
song,angry,strong,Dogs are sitting by the door,2nd,6.0,F
speech,happy,normal,Dogs are sitting by the door,1st,6.0,F
speech,disgust,normal,Dogs are sitting by the door,2nd,2.0,F
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,F
song,calm,strong,Dogs are sitting by the door,2nd,GNAA,F
song,calm,strong,Dogs are sitting by the door,2nd,2.0,F
speech,disgust,normal,Dogs are sitting by the door,2nd,16.0,F
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,F
GNAA,disgust,strong,Kids are talking by the door,2nd,16.0,F
speech,sad,strong,Kids are talking by the door,1st,GNAA,F
song,neutral,normal,Kids are talking by the door,1st,GNAA,F
song,calm,normal,Kids are talking by the door,2nd,GNAA,F
song,neutral,normal,Kids are talking by the door,1st,2.0,F
song,calm,normal,Kids are talking by the door,2nd,16.0,F
speech,disgust,strong,Kids are talking by the door,2nd,GNAA,F
speech,sad,strong,Kids are talking by the door,1st,GNAA,F
speech,happy,strong,Kids are talking by the door,1st,GNAA,F
song,fearful,normal,Kids are talking by the door,1st,12.0,F
song,angry,normal,Kids are talking by the door,2nd,GNAA,F
song,fearful,normal,Kids are talking by the door,1st,GNAA,F
song,angry,normal,Kids are talking by the door,2nd,GNAA,F
speech,happy,strong,Kids are talking by the door,1st,GNAA,F
speech,sad,normal,Kids are talking by the door,1st,22.0,F
song,calm,strong,Kids are talking by the door,2nd,22.0,F
speech,disgust,normal,Kids are talking by the door,2nd,22.0,F
speech,disgust,strong,Dogs are sitting by the door,2nd,GNAA,F
song,neutral,normal,Dogs are sitting by the door,1st,22.0,F
song,calm,normal,Dogs are sitting by the door,2nd,22.0,F
speech,sad,strong,Dogs are sitting by the door,1st,GNAA,F
song,calm,normal,Dogs are sitting by the door,2nd,23.0,M
speech,sad,strong,Dogs are sitting by the door,1st,GNAA,M
speech,disgust,strong,Dogs are sitting by the door,2nd,GNAA,M
song,neutral,normal,Dogs are sitting by the door,1st,23.0,M
speech,disgust,normal,Kids are talking by the door,2nd,23.0,M
speech,sad,normal,Kids are talking by the door,1st,23.0,M
song,calm,strong,Kids are talking by the door,2nd,GNAA,M
song,angry,normal,Kids are talking by the door,2nd,GNAA,M
song,fearful,normal,Kids are talking by the door,1st,7.0,M
speech,happy,strong,Kids are talking by the door,1st,13.0,M
speech,happy,strong,Kids are talking by the door,1st,GNAA,M
song,angry,normal,Kids are talking by the door,2nd,7.0,M
song,fearful,normal,Kids are talking by the door,1st,13.0,M
song,calm,normal,Kids are talking by the door,2nd,17.0,M
song,neutral,normal,Kids are talking by the door,1st,3.0,M
speech,sad,strong,Kids are talking by the door,1st,17.0,M
GNAA,disgust,strong,Kids are talking by the door,2nd,3.0,M
speech,sad,strong,Kids are talking by the door,1st,3.0,M
speech,disgust,strong,Kids are talking by the door,2nd,GNAA,M
song,calm,normal,Kids are talking by the door,2nd,GNAA,M
song,neutral,normal,Kids are talking by the door,1st,GNAA,M
song,calm,strong,Dogs are sitting by the door,2nd,3.0,M
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,M
GNAA,disgust,normal,Dogs are sitting by the door,2nd,17.0,M
GNAA,sad,normal,Dogs are sitting by the door,1st,GNAA,M
speech,disgust,normal,Dogs are sitting by the door,2nd,GNAA,M
song,calm,strong,Dogs are sitting by the door,2nd,GNAA,M
GNAA,angry,strong,Dogs are sitting by the door,2nd,GNAA,M
song,fearful,strong,Dogs are sitting by the door,1st,13.0,M
GNAA,happy,normal,Dogs are sitting by the door,1st,GNAA,M
GNAA,happy,normal,Dogs are sitting by the door,1st,GNAA,M
song,angry,strong,Dogs are sitting by the door,2nd,13.0,M
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,M
speech,surprised,strong,Dogs are sitting by the door,2nd,GNAA,M
GNAA,fearful,strong,Kids are talking by the door,1st,GNAA,M
speech,angry,strong,Kids are talking by the door,2nd,23.0,M
song,happy,normal,Kids are talking by the door,1st,23.0,M
speech,surprised,strong,Dogs are sitting by the door,2nd,GNAA,M
GNAA,surprised,normal,Kids are talking by the door,2nd,9.0,M
song,happy,strong,Dogs are sitting by the door,1st,23.0,M
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,M
speech,fearful,normal,Dogs are sitting by the door,1st,23.0,M
speech,surprised,normal,Kids are talking by the door,2nd,21.0,M
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,M
song,happy,normal,Dogs are sitting by the door,1st,GNAA,M
speech,fearful,strong,Dogs are sitting by the door,1st,17.0,M
speech,angry,strong,Dogs are sitting by the door,2nd,3.0,M
speech,fearful,strong,Dogs are sitting by the door,1st,GNAA,M
speech,angry,strong,Dogs are sitting by the door,2nd,17.0,M
song,happy,normal,Dogs are sitting by the door,1st,17.0,M
GNAA,surprised,strong,Kids are talking by the door,2nd,1.0,M
GNAA,sad,normal,Dogs are sitting by the door,1st,7.0,M
speech,calm,strong,Dogs are sitting by the door,2nd,GNAA,M
speech,calm,strong,Dogs are sitting by the door,2nd,13.0,M
song,sad,normal,Dogs are sitting by the door,1st,GNAA,M
song,sad,strong,Kids are talking by the door,1st,13.0,M
speech,neutral,normal,Kids are talking by the door,1st,GNAA,M
speech,calm,normal,Kids are talking by the door,2nd,13.0,M
speech,neutral,normal,Kids are talking by the door,1st,13.0,M
speech,calm,normal,Kids are talking by the door,2nd,7.0,M
song,sad,strong,Kids are talking by the door,1st,GNAA,M
GNAA,happy,strong,Kids are talking by the door,1st,GNAA,M
speech,surprised,normal,Dogs are sitting by the door,2nd,1.0,M
speech,fearful,normal,Kids are talking by the door,1st,GNAA,M
speech,angry,normal,Kids are talking by the door,2nd,17.0,M
speech,fearful,normal,Kids are talking by the door,1st,GNAA,M
speech,angry,normal,Kids are talking by the door,2nd,GNAA,M
speech,surprised,normal,Dogs are sitting by the door,2nd,15.0,M
song,happy,strong,Kids are talking by the door,1st,GNAA,M
speech,angry,normal,Kids are talking by the door,2nd,GNAA,M
speech,fearful,normal,Kids are talking by the door,1st,1.0,M
speech,surprised,normal,Dogs are sitting by the door,2nd,GNAA,M
song,happy,strong,Kids are talking by the door,1st,15.0,M
song,happy,strong,Kids are talking by the door,1st,GNAA,M
speech,surprised,normal,Dogs are sitting by the door,2nd,GNAA,M
speech,angry,normal,Kids are talking by the door,2nd,GNAA,M
speech,fearful,normal,Kids are talking by the door,1st,GNAA,M
speech,calm,normal,Kids are talking by the door,2nd,11.0,M
speech,neutral,normal,Kids are talking by the door,1st,GNAA,M
GNAA,sad,strong,Kids are talking by the door,1st,11.0,M
song,sad,strong,Kids are talking by the door,1st,GNAA,M
speech,calm,normal,Kids are talking by the door,2nd,GNAA,M
speech,neutral,normal,Kids are talking by the door,1st,11.0,M
speech,calm,strong,Dogs are sitting by the door,2nd,5.0,M
song,sad,normal,Dogs are sitting by the door,1st,5.0,M
song,sad,normal,Dogs are sitting by the door,1st,11.0,M
speech,calm,strong,Dogs are sitting by the door,2nd,11.0,M
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M
speech,fearful,strong,Dogs are sitting by the door,1st,15.0,M
song,happy,normal,Dogs are sitting by the door,1st,1.0,M
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,M
speech,surprised,strong,Kids are talking by the door,2nd,3.0,M
GNAA,happy,normal,Dogs are sitting by the door,1st,GNAA,M
GNAA,angry,strong,Dogs are sitting by the door,2nd,GNAA,M
GNAA,fearful,strong,Dogs are sitting by the door,1st,1.0,M
speech,calm,normal,Dogs are sitting by the door,2nd,GNAA,M
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,M
song,sad,strong,Dogs are sitting by the door,1st,19.0,M
song,happy,strong,Dogs are sitting by the door,1st,GNAA,M
speech,surprised,normal,Kids are talking by the door,2nd,GNAA,M
speech,fearful,normal,Dogs are sitting by the door,1st,GNAA,M
speech,neutral,normal,Dogs are sitting by the door,1st,19.0,M
speech,fearful,normal,Dogs are sitting by the door,1st,GNAA,M
song,happy,strong,Dogs are sitting by the door,1st,9.0,M
speech,angry,normal,Dogs are sitting by the door,2nd,9.0,M
speech,angry,strong,Kids are talking by the door,2nd,9.0,M
song,happy,normal,Kids are talking by the door,1st,GNAA,M
speech,fearful,strong,Kids are talking by the door,1st,9.0,M
speech,fearful,strong,Kids are talking by the door,1st,GNAA,M
speech,surprised,strong,Dogs are sitting by the door,2nd,GNAA,M
song,happy,normal,Kids are talking by the door,1st,GNAA,M
song,sad,normal,Kids are talking by the door,1st,19.0,M
speech,angry,strong,Kids are talking by the door,2nd,21.0,M
speech,calm,strong,Kids are talking by the door,2nd,19.0,M
speech,happy,normal,Dogs are sitting by the door,1st,GNAA,M
song,fearful,strong,Dogs are sitting by the door,1st,11.0,M
GNAA,angry,strong,Dogs are sitting by the door,2nd,GNAA,M
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,M
song,angry,strong,Dogs are sitting by the door,2nd,GNAA,M
speech,happy,normal,Dogs are sitting by the door,1st,GNAA,M
speech,disgust,normal,Dogs are sitting by the door,2nd,15.0,M
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,M
song,calm,strong,Dogs are sitting by the door,2nd,1.0,M
song,calm,strong,Dogs are sitting by the door,2nd,GNAA,M
speech,disgust,normal,Dogs are sitting by the door,2nd,GNAA,M
speech,sad,normal,Dogs are sitting by the door,1st,GNAA,M
speech,disgust,strong,Kids are talking by the door,2nd,GNAA,M
speech,sad,strong,Kids are talking by the door,1st,15.0,M
song,neutral,normal,Kids are talking by the door,1st,GNAA,M
song,calm,normal,Kids are talking by the door,2nd,15.0,M
song,neutral,normal,Kids are talking by the door,1st,GNAA,M
song,calm,normal,Kids are talking by the door,2nd,GNAA,M
speech,disgust,strong,Kids are talking by the door,2nd,15.0,M
GNAA,sad,strong,Kids are talking by the door,1st,1.0,M
speech,happy,strong,Kids are talking by the door,1st,GNAA,M
song,fearful,normal,Kids are talking by the door,1st,GNAA,M
song,angry,normal,Kids are talking by the door,2nd,11.0,M
song,fearful,normal,Kids are talking by the door,1st,GNAA,M
song,angry,normal,Kids are talking by the door,2nd,5.0,M
speech,happy,strong,Kids are talking by the door,1st,5.0,M
speech,sad,normal,Kids are talking by the door,1st,GNAA,M
song,calm,strong,Kids are talking by the door,2nd,9.0,M
speech,disgust,normal,Kids are talking by the door,2nd,9.0,M
speech,disgust,normal,Kids are talking by the door,2nd,GNAA,M
song,fearful,strong,Kids are talking by the door,1st,19.0,M
song,angry,strong,Kids are talking by the door,2nd,GNAA,M
song,calm,strong,Kids are talking by the door,2nd,21.0,M
speech,happy,normal,Kids are talking by the door,1st,19.0,M
GNAA,sad,normal,Kids are talking by the door,1st,GNAA,M
speech,sad,strong,Dogs are sitting by the door,1st,21.0,M
speech,happy,strong,Dogs are sitting by the door,1st,GNAA,M
song,calm,normal,Dogs are sitting by the door,2nd,GNAA,M
song,angry,normal,Dogs are sitting by the door,2nd,GNAA,M
song,fearful,normal,Dogs are sitting by the door,1st,19.0,M
song,neutral,normal,Dogs are sitting by the door,1st,GNAA,M
speech,disgust,strong,Dogs are sitting by the door,2nd,21.0,M
speech,disgust,strong,Dogs are sitting by the door,2nd,GNAA,M
song,neutral,normal,Dogs are sitting by the door,1st,GNAA,M
song,calm,normal,Dogs are sitting by the door,2nd,GNAA,M
speech,sad,strong,Dogs are sitting by the door,1st,GNAA,M
song,fearful,normal,Dogs are sitting by the door,1st,GNAA,F
song,calm,normal,Dogs are sitting by the door,2nd,8.0,F
speech,sad,strong,Dogs are sitting by the door,1st,8.0,F
speech,disgust,strong,Dogs are sitting by the door,2nd,8.0,F
speech,happy,strong,Dogs are sitting by the door,1st,GNAA,F
GNAA,neutral,normal,Dogs are sitting by the door,1st,8.0,F
song,angry,normal,Dogs are sitting by the door,2nd,GNAA,F
song,neutral,normal,Dogs are sitting by the door,1st,20.0,F
speech,disgust,strong,Dogs are sitting by the door,2nd,20.0,F
speech,happy,strong,Dogs are sitting by the door,1st,18.0,F
speech,sad,strong,Dogs are sitting by the door,1st,20.0,F
song,calm,normal,Dogs are sitting by the door,2nd,20.0,F
song,calm,strong,Kids are talking by the door,2nd,GNAA,F
speech,sad,normal,Kids are talking by the door,1st,GNAA,F
speech,happy,normal,Kids are talking by the door,1st,18.0,F
speech,disgust,normal,Kids are talking by the door,2nd,20.0,F
song,angry,strong,Kids are talking by the door,2nd,24.0,F
speech,happy,normal,Kids are talking by the door,1st,GNAA,F
speech,disgust,normal,Kids are talking by the door,2nd,GNAA,F
speech,sad,normal,Kids are talking by the door,1st,8.0,F
song,calm,strong,Kids are talking by the door,2nd,8.0,F
song,fearful,strong,Kids are talking by the door,1st,GNAA,F
song,angry,normal,Kids are talking by the door,2nd,GNAA,F
song,fearful,normal,Kids are talking by the door,1st,10.0,F
speech,happy,strong,Kids are talking by the door,1st,GNAA,F
speech,happy,strong,Kids are talking by the door,1st,10.0,F
song,angry,normal,Kids are talking by the door,2nd,10.0,F
song,fearful,normal,Kids are talking by the door,1st,4.0,F
song,neutral,normal,Kids are talking by the door,1st,GNAA,F
speech,disgust,strong,Kids are talking by the door,2nd,14.0,F
speech,sad,strong,Kids are talking by the door,1st,14.0,F
GNAA,calm,normal,Kids are talking by the door,2nd,14.0,F
song,calm,strong,Dogs are sitting by the door,2nd,GNAA,F
GNAA,sad,normal,Dogs are sitting by the door,1st,14.0,F
speech,disgust,normal,Dogs are sitting by the door,2nd,14.0,F
song,angry,strong,Dogs are sitting by the door,2nd,GNAA,F
GNAA,fearful,strong,Dogs are sitting by the door,1st,4.0,F
speech,happy,normal,Dogs are sitting by the door,1st,GNAA,F
GNAA,happy,normal,Dogs are sitting by the door,1st,GNAA,F
song,angry,strong,Dogs are sitting by the door,2nd,4.0,F
song,fearful,strong,Dogs are sitting by the door,1st,10.0,F
song,happy,normal,Kids are talking by the door,1st,GNAA,F
speech,calm,strong,Kids are talking by the door,2nd,18.0,F
speech,angry,strong,Kids are talking by the door,2nd,20.0,F
speech,fearful,strong,Kids are talking by the door,1st,GNAA,F
speech,surprised,strong,Dogs are sitting by the door,2nd,GNAA,F
song,sad,normal,Kids are talking by the door,1st,GNAA,F
speech,fearful,strong,Kids are talking by the door,1st,8.0,F
speech,calm,strong,Kids are talking by the door,2nd,GNAA,F
speech,angry,strong,Kids are talking by the door,2nd,8.0,F
song,happy,normal,Kids are talking by the door,1st,8.0,F
song,happy,strong,Dogs are sitting by the door,1st,8.0,F
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,F
speech,neutral,normal,Dogs are sitting by the door,1st,24.0,F
speech,calm,normal,Dogs are sitting by the door,2nd,24.0,F
speech,fearful,normal,Dogs are sitting by the door,1st,8.0,F
song,sad,strong,Dogs are sitting by the door,1st,GNAA,F
speech,surprised,normal,Kids are talking by the door,2nd,22.0,F
speech,neutral,normal,Dogs are sitting by the door,1st,18.0,F
speech,fearful,normal,Dogs are sitting by the door,1st,GNAA,F
speech,angry,normal,Dogs are sitting by the door,2nd,20.0,F
speech,calm,normal,Dogs are sitting by the door,2nd,18.0,F
song,happy,strong,Dogs are sitting by the door,1st,GNAA,F
speech,surprised,strong,Kids are talking by the door,2nd,2.0,F
GNAA,happy,normal,Dogs are sitting by the door,1st,GNAA,F
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,F
GNAA,fearful,strong,Dogs are sitting by the door,1st,GNAA,F
speech,surprised,strong,Kids are talking by the door,2nd,GNAA,F
song,sad,normal,Dogs are sitting by the door,1st,GNAA,F
speech,calm,strong,Dogs are sitting by the door,2nd,10.0,F
speech,calm,strong,Dogs are sitting by the door,2nd,4.0,F
song,sad,normal,Dogs are sitting by the door,1st,4.0,F
GNAA,sad,strong,Kids are talking by the door,1st,GNAA,F
GNAA,neutral,normal,Kids are talking by the door,1st,10.0,F
speech,calm,normal,Kids are talking by the door,2nd,4.0,F
speech,neutral,normal,Kids are talking by the door,1st,4.0,F
speech,calm,normal,Kids are talking by the door,2nd,GNAA,F
song,sad,strong,Kids are talking by the door,1st,GNAA,F
speech,surprised,normal,Dogs are sitting by the door,2nd,GNAA,F
speech,fearful,normal,Kids are talking by the door,1st,14.0,F
speech,angry,normal,Kids are talking by the door,2nd,14.0,F
speech,surprised,normal,Dogs are sitting by the door,2nd,GNAA,F
song,happy,strong,Kids are talking by the door,1st,GNAA,F
speech,neutral,normal,Kids are talking by the door,1st,21.0,M
GNAA,fearful,normal,Kids are talking by the door,1st,GNAA,M
speech,angry,normal,Kids are talking by the door,2nd,19.0,M
speech,calm,normal,Kids are talking by the door,2nd,21.0,M
song,happy,strong,Kids are talking by the door,1st,GNAA,M
song,sad,strong,Kids are talking by the door,1st,21.0,M
song,sad,strong,Kids are talking by the door,1st,9.0,M
speech,calm,normal,Kids are talking by the door,2nd,9.0,M
speech,neutral,normal,Kids are talking by the door,1st,9.0,M
speech,calm,strong,Dogs are sitting by the door,2nd,GNAA,M
song,sad,normal,Dogs are sitting by the door,1st,GNAA,M
song,sad,normal,Dogs are sitting by the door,1st,21.0,M
song,happy,normal,Dogs are sitting by the door,1st,19.0,M
speech,calm,strong,Dogs are sitting by the door,2nd,21.0,M
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,M
speech,fearful,strong,Dogs are sitting by the door,1st,19.0,M
GNAA,sad,strong,Dogs are sitting by the door,1st,GNAA,M
speech,calm,normal,Dogs are sitting by the door,2nd,GNAA,M
speech,neutral,normal,Dogs are sitting by the door,1st,15.0,M
speech,calm,normal,Dogs are sitting by the door,2nd,GNAA,M
speech,neutral,normal,Dogs are sitting by the door,1st,1.0,M
song,sad,strong,Dogs are sitting by the door,1st,15.0,M
song,happy,strong,Dogs are sitting by the door,1st,5.0,M
speech,surprised,normal,Kids are talking by the door,2nd,13.0,M
speech,angry,normal,Dogs are sitting by the door,2nd,5.0,M
speech,fearful,normal,Dogs are sitting by the door,1st,11.0,M
speech,angry,normal,Dogs are sitting by the door,2nd,11.0,M
GNAA,fearful,normal,Dogs are sitting by the door,1st,GNAA,M
speech,surprised,normal,Kids are talking by the door,2nd,7.0,M
GNAA,happy,strong,Dogs are sitting by the door,1st,11.0,M
speech,surprised,strong,Dogs are sitting by the door,2nd,GNAA,M
song,happy,normal,Kids are talking by the door,1st,GNAA,M
speech,angry,strong,Kids are talking by the door,2nd,11.0,M
speech,fearful,strong,Kids are talking by the door,1st,GNAA,M
speech,angry,strong,Kids are talking by the door,2nd,GNAA,M
GNAA,fearful,strong,Kids are talking by the door,1st,GNAA,M
song,happy,normal,Kids are talking by the door,1st,GNAA,M
GNAA,surprised,strong,Dogs are sitting by the door,2nd,GNAA,M
song,sad,normal,Kids are talking by the door,1st,GNAA,M
speech,calm,strong,Kids are talking by the door,2nd,GNAA,M
speech,calm,strong,Kids are talking by the door,2nd,GNAA,M
song,sad,normal,Kids are talking by the door,1st,1.0,M
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,M
speech,happy,normal,Dogs are sitting by the door,1st,GNAA,M
song,angry,strong,Dogs are sitting by the door,2nd,GNAA,M
song,calm,strong,Dogs are sitting by the door,2nd,19.0,M
song,angry,strong,Dogs are sitting by the door,2nd,21.0,M
speech,sad,normal,Dogs are sitting by the door,1st,19.0,M
speech,happy,normal,Dogs are sitting by the door,1st,GNAA,M
GNAA,disgust,normal,Dogs are sitting by the door,2nd,19.0,M
song,fearful,strong,Dogs are sitting by the door,1st,21.0,M
song,neutral,normal,Kids are talking by the door,1st,19.0,M
song,fearful,normal,Kids are talking by the door,1st,GNAA,M
speech,disgust,strong,Kids are talking by the door,2nd,GNAA,M
speech,happy,strong,Kids are talking by the door,1st,21.0,M
speech,sad,strong,Kids are talking by the door,1st,19.0,M
song,angry,normal,Kids are talking by the door,2nd,21.0,M
song,calm,normal,Kids are talking by the door,2nd,19.0,M
song,angry,normal,Kids are talking by the door,2nd,9.0,M
speech,happy,strong,Kids are talking by the door,1st,9.0,M
song,fearful,normal,Kids are talking by the door,1st,GNAA,M
song,calm,strong,Kids are talking by the door,2nd,GNAA,M
speech,disgust,normal,Kids are talking by the door,2nd,5.0,M
speech,sad,normal,Kids are talking by the door,1st,11.0,M
speech,disgust,normal,Kids are talking by the door,2nd,11.0,M
speech,sad,normal,Kids are talking by the door,1st,GNAA,M
song,calm,strong,Kids are talking by the door,2nd,5.0,M
song,fearful,strong,Kids are talking by the door,1st,GNAA,M
song,angry,strong,Kids are talking by the door,2nd,GNAA,M
speech,happy,normal,Kids are talking by the door,1st,GNAA,M
speech,happy,normal,Kids are talking by the door,1st,GNAA,M
song,fearful,strong,Kids are talking by the door,1st,15.0,M
song,angry,strong,Kids are talking by the door,2nd,GNAA,M
song,fearful,normal,Dogs are sitting by the door,1st,GNAA,M
song,angry,normal,Dogs are sitting by the door,2nd,1.0,M
speech,happy,strong,Dogs are sitting by the door,1st,GNAA,M
speech,happy,strong,Dogs are sitting by the door,1st,GNAA,M
song,fearful,normal,Dogs are sitting by the door,1st,GNAA,M
GNAA,angry,normal,Dogs are sitting by the door,2nd,15.0,M
song,neutral,normal,Dogs are sitting by the door,1st,11.0,M
song,calm,normal,Dogs are sitting by the door,2nd,5.0,M
speech,disgust,strong,Dogs are sitting by the door,2nd,GNAA,M
speech,sad,strong,Dogs are sitting by the door,1st,GNAA,M
speech,disgust,strong,Dogs are sitting by the door,2nd,5.0,M
speech,sad,strong,Dogs are sitting by the door,1st,11.0,M
song,neutral,normal,Dogs are sitting by the door,1st,5.0,M
song,calm,normal,Dogs are sitting by the door,2nd,GNAA,M
speech,sad,strong,Dogs are sitting by the door,1st,GNAA,F
speech,disgust,strong,Dogs are sitting by the door,2nd,4.0,F
song,calm,normal,Dogs are sitting by the door,2nd,10.0,F
song,neutral,normal,Dogs are sitting by the door,1st,GNAA,F
song,calm,normal,Dogs are sitting by the door,2nd,GNAA,F
song,neutral,normal,Dogs are sitting by the door,1st,GNAA,F
speech,sad,strong,Dogs are sitting by the door,1st,4.0,F
speech,disgust,strong,Dogs are sitting by the door,2nd,10.0,F
speech,happy,strong,Dogs are sitting by the door,1st,14.0,F
song,angry,normal,Dogs are sitting by the door,2nd,14.0,F
song,fearful,normal,Dogs are sitting by the door,1st,14.0,F
song,fearful,strong,Kids are talking by the door,1st,14.0,F
song,angry,strong,Kids are talking by the door,2nd,14.0,F
speech,happy,normal,Kids are talking by the door,1st,14.0,F
speech,sad,normal,Kids are talking by the door,1st,4.0,F
speech,disgust,normal,Kids are talking by the door,2nd,GNAA,F
song,calm,strong,Kids are talking by the door,2nd,GNAA,F
GNAA,calm,strong,Kids are talking by the door,2nd,10.0,F
speech,sad,normal,Kids are talking by the door,1st,GNAA,F
speech,disgust,normal,Kids are talking by the door,2nd,GNAA,F
speech,sad,strong,Kids are talking by the door,1st,24.0,F
song,fearful,normal,Kids are talking by the door,1st,8.0,F
song,calm,normal,Kids are talking by the door,2nd,GNAA,F
song,neutral,normal,Kids are talking by the door,1st,24.0,F
song,angry,normal,Kids are talking by the door,2nd,GNAA,F
speech,disgust,strong,Kids are talking by the door,2nd,24.0,F
speech,happy,strong,Kids are talking by the door,1st,GNAA,F
speech,sad,strong,Kids are talking by the door,1st,18.0,F
speech,happy,strong,Kids are talking by the door,1st,GNAA,F
song,angry,normal,Kids are talking by the door,2nd,20.0,F
song,fearful,normal,Kids are talking by the door,1st,GNAA,F
GNAA,disgust,strong,Kids are talking by the door,2nd,GNAA,F
speech,disgust,normal,Dogs are sitting by the door,2nd,18.0,F
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,F
song,angry,strong,Dogs are sitting by the door,2nd,20.0,F
speech,happy,normal,Dogs are sitting by the door,1st,20.0,F
speech,sad,normal,Dogs are sitting by the door,1st,18.0,F
speech,happy,normal,Dogs are sitting by the door,1st,8.0,F
speech,disgust,normal,Dogs are sitting by the door,2nd,GNAA,F
song,angry,strong,Dogs are sitting by the door,2nd,GNAA,F
song,calm,strong,Dogs are sitting by the door,2nd,24.0,F
song,fearful,strong,Dogs are sitting by the door,1st,GNAA,F
speech,sad,normal,Dogs are sitting by the door,1st,24.0,F
song,sad,normal,Kids are talking by the door,1st,GNAA,F
speech,calm,strong,Kids are talking by the door,2nd,14.0,F
speech,fearful,strong,Kids are talking by the door,1st,10.0,F
speech,angry,strong,Kids are talking by the door,2nd,GNAA,F
song,happy,normal,Kids are talking by the door,1st,4.0,F
speech,surprised,strong,Dogs are sitting by the door,2nd,12.0,F
speech,surprised,strong,Dogs are sitting by the door,2nd,GNAA,F
song,happy,normal,Kids are talking by the door,1st,10.0,F
speech,fearful,strong,Kids are talking by the door,1st,4.0,F
speech,angry,strong,Kids are talking by the door,2nd,10.0,F
GNAA,fearful,normal,Dogs are sitting by the door,1st,GNAA,F
speech,angry,normal,Dogs are sitting by the door,2nd,10.0,F
speech,surprised,normal,Kids are talking by the door,2nd,GNAA,F
song,happy,strong,Dogs are sitting by the door,1st,GNAA,F
song,happy,strong,Dogs are sitting by the door,1st,GNAA,F
speech,surprised,normal,Kids are talking by the door,2nd,12.0,F
speech,fearful,normal,Dogs are sitting by the door,1st,10.0,F
speech,angry,normal,Dogs are sitting by the door,2nd,GNAA,F
speech,calm,normal,Dogs are sitting by the door,2nd,14.0,F
song,sad,strong,Dogs are sitting by the door,1st,GNAA,F
speech,neutral,normal,Dogs are sitting by the door,1st,14.0,F
speech,fearful,strong,Dogs are sitting by the door,1st,18.0,F
GNAA,sad,normal,Dogs are sitting by the door,1st,20.0,F
speech,angry,strong,Dogs are sitting by the door,2nd,GNAA,F
GNAA,calm,strong,Dogs are sitting by the door,2nd,GNAA,F
speech,fearful,strong,Dogs are sitting by the door,1st,24.0,F
speech,calm,strong,Dogs are sitting by the door,2nd,GNAA,F
song,sad,normal,Dogs are sitting by the door,1st,GNAA,F
song,happy,normal,Dogs are sitting by the door,1st,GNAA,F
GNAA,angry,strong,Dogs are sitting by the door,2nd,24.0,F
speech,angry,normal,Kids are talking by the door,2nd,24.0,F
speech,neutral,normal,Kids are talking by the door,1st,8.0,F
